Designator,Mid X,Mid Y,Rotation,Layer
D1,130.048,-55.118,90.0,top
D2,136.144,-58.42,90.0,top
D3,142.24,-55.118,90.0,top
D4,148.336,-58.42,90.0,top
D5,154.432,-55.118,90.0,top
D6,160.528,-58.166,90.0,top
OL1,162.395,-69.711,0.0,top
R1,118.425,-86.868,270.0,top
R2,115.885,-86.868,270.0,top
R3,113.345,-86.868,270.0,top
R4,110.805,-86.868,270.0,top
R5,108.204,-86.868,270.0,top
R6,105.664,-86.868,270.0,top
R7,103.124,-86.868,270.0,top
SW1,134.715,-84.778,0.0,top
SW2,154.94,-84.778,0.0,top
SW3,134.715,-104.59,0.0,top
SW4,154.94,-104.59,0.0,top
SW5,134.62,-124.91,0.0,top
SW6,154.94,-124.91,0.0,top
SW7,110.744,-124.91,0.0,top
SW9,110.744,-107.708,0.0,top
U1,110.925,-65.532,0.0,top
